panel,supplier,term,basis,horizon_days,start_dates_with_target_in_study,exact_pairs,unchanged_endpoints,changed_endpoints,complete_daily_windows,no_observed_change_complete,observed_change_complete,returned_to_start_complete,series_with_pairs,series_with_complete_windows,p_unchanged_endpoints,p_no_observed_change_complete,exact_pair_selection_rate
same_id,Keravan Energia Oy,6,observed_seller_data,14,110,37,37,0,37,37,0,0,3,3,1.0,1.0,0.33636363636363636
same_id,Keravan Energia Oy,6,observed_seller_data,30,110,5,5,0,5,5,0,0,1,1,1.0,1.0,0.045454545454545456
same_id,Keravan Energia Oy,6,observed_seller_data,45,110,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Keravan Energia Oy,6,observed_seller_data,60,99,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Keravan Energia Oy,6,observed_seller_data,90,69,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Keravan Energia Oy,12,canonical_calculation,7,83,46,46,0,46,46,0,0,3,3,1.0,1.0,0.5542168674698795
same_id,Keravan Energia Oy,12,canonical_calculation,14,69,30,30,0,30,30,0,0,2,2,1.0,1.0,0.43478260869565216
same_id,Keravan Energia Oy,12,canonical_calculation,30,37,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Keravan Energia Oy,12,canonical_calculation,45,7,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Keravan Energia Oy,12,canonical_calculation,60,0,0,0,0,0,0,0,0,0,0,,,
same_id,Keravan Energia Oy,12,canonical_calculation,90,0,0,0,0,0,0,0,0,0,0,,,
same_id,Keravan Energia Oy,12,observed_seller_data,7,296,206,206,0,206,206,0,0,9,9,1.0,1.0,0.6959459459459459
same_id,Keravan Energia Oy,12,observed_seller_data,14,296,147,147,0,147,147,0,0,7,7,1.0,1.0,0.4966216216216216
same_id,Keravan Energia Oy,12,observed_seller_data,30,296,51,51,0,51,51,0,0,2,2,1.0,1.0,0.17229729729729729
same_id,Keravan Energia Oy,12,observed_seller_data,45,296,31,31,0,31,31,0,0,1,1,1.0,1.0,0.10472972972972973
same_id,Keravan Energia Oy,12,observed_seller_data,60,274,16,16,0,16,16,0,0,1,1,1.0,1.0,0.058394160583941604
same_id,Keravan Energia Oy,12,observed_seller_data,90,207,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Keravan Energia Oy,24,canonical_calculation,7,80,32,32,0,32,32,0,0,4,4,1.0,1.0,0.4
same_id,Keravan Energia Oy,24,canonical_calculation,14,66,6,6,0,6,6,0,0,2,2,1.0,1.0,0.09090909090909091
same_id,Keravan Energia Oy,24,canonical_calculation,30,34,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Keravan Energia Oy,24,canonical_calculation,45,6,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Keravan Energia Oy,24,canonical_calculation,60,0,0,0,0,0,0,0,0,0,0,,,
same_id,Keravan Energia Oy,24,canonical_calculation,90,0,0,0,0,0,0,0,0,0,0,,,
same_id,Keravan Energia Oy,24,observed_seller_data,7,220,143,143,0,143,143,0,0,10,10,1.0,1.0,0.65
same_id,Keravan Energia Oy,24,observed_seller_data,14,220,85,85,0,85,85,0,0,6,6,1.0,1.0,0.38636363636363635
same_id,Keravan Energia Oy,24,observed_seller_data,30,220,0,0,0,0,0,0,0,0,0,,,0.0
