status,contract,kwh,v2_segment,v3_segment,pair_days,first_date,last_date,reasons
new,hwdaii-vihrea-alyenergia-oy-vankka-kiintea-6kk-fossiilivapaa,5000,,fixed_term_6,3,2026-01-24,2026-01-26,"{""null"": 3}"
new,hwdaii-vihrea-alyenergia-oy-vankka-kiintea-6kk-fossiilivapaa,18000,,fixed_term_6,3,2026-01-24,2026-01-26,"{""null"": 3}"
new,hxygsl-oomi-oy-oomi-kiintea-6-kk,2000,,fixed_term_6,18,2026-04-17,2026-05-04,"{""null"": 18}"
new,hxygsl-oomi-oy-oomi-kiintea-6-kk,5000,,fixed_term_6,18,2026-04-17,2026-05-04,"{""null"": 18}"
new,hxygsl-oomi-oy-oomi-kiintea-6-kk,18000,,fixed_term_6,18,2026-04-17,2026-05-04,"{""null"": 18}"
new,im7tc9-oomi-oy-oomi-kiintea-6-kk,2000,,fixed_term_6,11,2026-06-15,2026-06-25,"{""null"": 11}"
new,im7tc9-oomi-oy-oomi-kiintea-6-kk,5000,,fixed_term_6,11,2026-06-15,2026-06-25,"{""null"": 11}"
new,im7tc9-oomi-oy-oomi-kiintea-6-kk,18000,,fixed_term_6,11,2026-06-15,2026-06-25,"{""null"": 11}"
new,kzxar1-vare-oy-maaraaikainen-sahko-6-kk,2000,,fixed_term_6,6,2026-04-09,2026-04-14,"{""null"": 6}"
new,kzxar1-vare-oy-maaraaikainen-sahko-6-kk,5000,,fixed_term_6,6,2026-04-09,2026-04-14,"{""null"": 6}"
new,kzxar1-vare-oy-maaraaikainen-sahko-6-kk,18000,,fixed_term_6,6,2026-04-09,2026-04-14,"{""null"": 6}"
new,l2ff7m-sahkotytot-oy-kiintea-6kk-ensimmaiset-3kk-ilman-perusmaksua,2000,,fixed_term_6,3,2026-01-28,2026-01-30,"{""null"": 3}"
new,l2ff7m-sahkotytot-oy-kiintea-6kk-ensimmaiset-3kk-ilman-perusmaksua,5000,,fixed_term_6,3,2026-01-28,2026-01-30,"{""null"": 3}"
new,l2ff7m-sahkotytot-oy-kiintea-6kk-ensimmaiset-3kk-ilman-perusmaksua,18000,,fixed_term_6,3,2026-01-28,2026-01-30,"{""null"": 3}"
new,lakfhn-sahkotytot-oy-kiintea-6kk-ensimmainen-1kk-ilman-perusmaksua,2000,,fixed_term_6,57,2026-03-24,2026-05-19,"{""null"": 57}"
new,lakfhn-sahkotytot-oy-kiintea-6kk-ensimmainen-1kk-ilman-perusmaksua,5000,,fixed_term_6,57,2026-03-24,2026-05-19,"{""null"": 57}"
new,lakfhn-sahkotytot-oy-kiintea-6kk-ensimmainen-1kk-ilman-perusmaksua,18000,,fixed_term_6,57,2026-03-24,2026-05-19,"{""null"": 57}"
new,lecan2-hehku-energia-oy-hehku-kiintea-6-kk,2000,,fixed_term_6,2,2026-07-21,2026-07-22,"{""null"": 2}"
new,lecan2-hehku-energia-oy-hehku-kiintea-6-kk,5000,,fixed_term_6,2,2026-07-21,2026-07-22,"{""null"": 2}"
