basis,support,cohort,model,term,n,issue_days,first_issue,last_issue,mae,rmse,bias,correct,wrong_way,missed_move,false_move,actual_up,actual_flat,actual_down,predicted_up,predicted_flat,predicted_down
canonical_calculation,native,native_eligible,lag_7,24,19,19,2026-07-27,2026-08-14,0.20130526315789454,0.2567231090822213,-0.20130526315789454,10,0,9,0,9,10,0,0,19,0
canonical_calculation,native,native_eligible,lag_7,all,57,19,2026-07-27,2026-08-14,0.7027684210526315,0.9340650475113905,-0.7026210526315788,16,0,41,0,44,13,0,3,54,0
canonical_calculation,native,native_eligible,lag_14,6,19,19,2026-07-27,2026-08-14,1.4712526315789474,1.4977844613400082,-1.4712526315789474,4,0,15,0,19,0,0,4,15,0
canonical_calculation,native,native_eligible,lag_14,12,19,19,2026-07-27,2026-08-14,0.3789105263157893,0.44170296937862497,-0.3789105263157893,3,0,16,0,16,3,0,0,19,0
canonical_calculation,native,native_eligible,lag_14,24,19,19,2026-07-27,2026-08-14,0.18949999999999972,0.2488659700574417,-0.18795263157894715,10,0,9,0,9,10,0,0,19,0
canonical_calculation,native,native_eligible,lag_14,all,57,19,2026-07-27,2026-08-14,0.6798877192982454,0.9129428745987898,-0.6793719298245613,17,0,40,0,44,13,0,4,53,0
canonical_calculation,native,native_eligible,lag_21,6,19,19,2026-07-27,2026-08-14,1.4575526315789473,1.4907922674661425,-1.4575526315789473,3,0,16,0,19,0,0,3,16,0
canonical_calculation,native,native_eligible,lag_21,12,19,19,2026-07-27,2026-08-14,0.3778052631578945,0.43716535291520237,-0.374415789473684,3,0,16,0,16,3,0,0,19,0
canonical_calculation,native,native_eligible,lag_21,24,19,19,2026-07-27,2026-08-14,0.1888052631578946,0.2377158066617406,-0.18623684210526284,10,0,9,0,9,10,0,0,19,0
canonical_calculation,native,native_eligible,lag_21,all,57,19,2026-07-27,2026-08-14,0.6747210526315788,0.9073925896514616,-0.6727350877192981,16,0,41,0,44,13,0,3,54,0
canonical_calculation,native,native_eligible,lag_30,6,19,19,2026-07-27,2026-08-14,1.4957631578947368,1.5298856044265463,-1.4957631578947368,4,0,15,0,19,0,0,4,15,0
canonical_calculation,native,native_eligible,lag_30,12,19,19,2026-07-27,2026-08-14,0.39772631578947343,0.45707083177901164,-0.39772631578947343,3,0,16,0,16,3,0,0,19,0
canonical_calculation,native,native_eligible,lag_30,24,19,19,2026-07-27,2026-08-14,0.1988999999999998,0.24780503902951806,-0.1988999999999998,10,0,9,0,9,10,0,0,19,0
canonical_calculation,native,native_eligible,lag_30,all,57,19,2026-07-27,2026-08-14,0.6974631578947368,0.9328935354160476,-0.6974631578947368,17,0,40,0,44,13,0,4,53,0
canonical_calculation,native,intersection,lag_0,6,19,19,2026-07-27,2026-08-14,1.5432894736842109,1.5712758431488592,-1.5432894736842109,3,2,14,0,19,0,0,3,14,2
canonical_calculation,native,intersection,lag_0,12,19,19,2026-07-27,2026-08-14,0.4349421052631577,0.48313347670782353,-0.4349421052631577,3,0,16,0,16,3,0,0,19,0
canonical_calculation,native,intersection,lag_0,24,19,19,2026-07-27,2026-08-14,0.21768947368421018,0.26554176101341415,-0.21768947368421018,10,0,9,0,9,10,0,0,19,0
